"Interval","Hour","GMTIntervalEnd","variable","value"
2021-01-06 10:30:00,10,2021-01-06 16:30:00,"wind_pen_actual",NA
2021-01-06 10:25:00,10,2021-01-06 16:25:00,"wind_pen_actual",NA
2021-01-06 10:20:00,10,2021-01-06 16:20:00,"wind_pen_actual",NA
2021-01-06 10:15:00,10,2021-01-06 16:15:00,"wind_pen_actual",NA
2021-01-06 10:10:00,10,2021-01-06 16:10:00,"wind_pen_actual",NA
2021-01-06 10:05:00,10,2021-01-06 16:05:00,"wind_pen_actual",NA
2021-01-06 10:00:00,10,2021-01-06 16:00:00,"wind_pen_actual",NA
2021-01-06 09:55:00,9,2021-01-06 15:55:00,"wind_pen_actual",NA
2021-01-06 09:50:00,9,2021-01-06 15:50:00,"wind_pen_actual",NA
2021-01-06 09:45:00,9,2021-01-06 15:45:00,"wind_pen_actual",NA
2021-01-06 09:40:00,9,2021-01-06 15:40:00,"wind_pen_actual",NA
2021-01-06 09:35:00,9,2021-01-06 15:35:00,"wind_pen_actual",NA
2021-01-06 09:30:00,9,2021-01-06 15:30:00,"wind_pen_actual",NA
2021-01-06 09:25:00,9,2021-01-06 15:25:00,"wind_pen_actual",NA
2021-01-06 09:20:00,9,2021-01-06 15:20:00,"wind_pen_actual",NA
2021-01-06 09:15:00,9,2021-01-06 15:15:00,"wind_pen_actual",NA
2021-01-06 09:10:00,9,2021-01-06 15:10:00,"wind_pen_actual",NA
2021-01-06 09:05:00,9,2021-01-06 15:05:00,"wind_pen_actual",NA
2021-01-06 09:00:00,9,2021-01-06 15:00:00,"wind_pen_actual",NA
2021-01-06 08:55:00,8,2021-01-06 14:55:00,"wind_pen_actual",NA
2021-01-06 08:50:00,8,2021-01-06 14:50:00,"wind_pen_actual",NA
2021-01-06 08:45:00,8,2021-01-06 14:45:00,"wind_pen_actual",NA
2021-01-06 08:40:00,8,2021-01-06 14:40:00,"wind_pen_actual",NA
2021-01-06 08:35:00,8,2021-01-06 14:35:00,"wind_pen_actual",NA
2021-01-06 08:30:00,8,2021-01-06 14:30:00,"wind_pen_actual",NA
2021-01-06 08:25:00,8,2021-01-06 14:25:00,"wind_pen_actual",NA
2021-01-06 08:20:00,8,2021-01-06 14:20:00,"wind_pen_actual",NA
2021-01-06 08:15:00,8,2021-01-06 14:15:00,"wind_pen_actual",NA
2021-01-06 08:10:00,8,2021-01-06 14:10:00,"wind_pen_actual",NA
2021-01-06 08:05:00,8,2021-01-06 14:05:00,"wind_pen_actual",NA
2021-01-06 08:00:00,8,2021-01-06 14:00:00,"wind_pen_actual",NA
2021-01-06 07:55:00,7,2021-01-06 13:55:00,"wind_pen_actual",NA
2021-01-06 07:50:00,7,2021-01-06 13:50:00,"wind_pen_actual",NA
2021-01-06 07:45:00,7,2021-01-06 13:45:00,"wind_pen_actual",NA
2021-01-06 07:40:00,7,2021-01-06 13:40:00,"wind_pen_actual",NA
2021-01-06 07:35:00,7,2021-01-06 13:35:00,"wind_pen_actual",NA
2021-01-06 07:30:00,7,2021-01-06 13:30:00,"wind_pen_actual",NA
2021-01-06 07:25:00,7,2021-01-06 13:25:00,"wind_pen_actual",NA
2021-01-06 07:20:00,7,2021-01-06 13:20:00,"wind_pen_actual",NA
2021-01-06 07:15:00,7,2021-01-06 13:15:00,"wind_pen_actual",NA
2021-01-06 07:10:00,7,2021-01-06 13:10:00,"wind_pen_actual",NA
2021-01-06 07:05:00,7,2021-01-06 13:05:00,"wind_pen_actual",NA
2021-01-06 07:00:00,7,2021-01-06 13:00:00,"wind_pen_actual",NA
2021-01-06 06:55:00,6,2021-01-06 12:55:00,"wind_pen_actual",NA
2021-01-06 06:50:00,6,2021-01-06 12:50:00,"wind_pen_actual",NA
2021-01-06 06:45:00,6,2021-01-06 12:45:00,"wind_pen_actual",NA
2021-01-06 06:40:00,6,2021-01-06 12:40:00,"wind_pen_actual",NA
2021-01-06 06:35:00,6,2021-01-06 12:35:00,"wind_pen_actual",NA
2021-01-06 06:30:00,6,2021-01-06 12:30:00,"wind_pen_actual",NA
2021-01-06 06:25:00,6,2021-01-06 12:25:00,"wind_pen_actual",NA
2021-01-06 06:20:00,6,2021-01-06 12:20:00,"wind_pen_actual",NA
2021-01-06 06:15:00,6,2021-01-06 12:15:00,"wind_pen_actual",NA
2021-01-06 06:10:00,6,2021-01-06 12:10:00,"wind_pen_actual",NA
2021-01-06 06:05:00,6,2021-01-06 12:05:00,"wind_pen_actual",NA
2021-01-06 06:00:00,6,2021-01-06 12:00:00,"wind_pen_actual",NA
2021-01-06 05:55:00,5,2021-01-06 11:55:00,"wind_pen_actual",NA
2021-01-06 05:50:00,5,2021-01-06 11:50:00,"wind_pen_actual",NA
2021-01-06 05:45:00,5,2021-01-06 11:45:00,"wind_pen_actual",NA
2021-01-06 05:40:00,5,2021-01-06 11:40:00,"wind_pen_actual",NA
2021-01-06 05:35:00,5,2021-01-06 11:35:00,"wind_pen_actual",NA
