"Interval","Hour","GMTIntervalEnd","variable","value"
2021-01-08 11:30:00,11,2021-01-08 17:30:00,"wind_pen_actual",NA
2021-01-08 11:25:00,11,2021-01-08 17:25:00,"wind_pen_actual",NA
2021-01-08 11:20:00,11,2021-01-08 17:20:00,"wind_pen_actual",NA
2021-01-08 11:15:00,11,2021-01-08 17:15:00,"wind_pen_actual",NA
2021-01-08 11:10:00,11,2021-01-08 17:10:00,"wind_pen_actual",NA
2021-01-08 11:05:00,11,2021-01-08 17:05:00,"wind_pen_actual",NA
2021-01-08 11:00:00,11,2021-01-08 17:00:00,"wind_pen_actual",NA
2021-01-08 10:55:00,10,2021-01-08 16:55:00,"wind_pen_actual",NA
2021-01-08 10:50:00,10,2021-01-08 16:50:00,"wind_pen_actual",NA
2021-01-08 10:45:00,10,2021-01-08 16:45:00,"wind_pen_actual",NA
2021-01-08 10:40:00,10,2021-01-08 16:40:00,"wind_pen_actual",NA
2021-01-08 10:35:00,10,2021-01-08 16:35:00,"wind_pen_actual",NA
2021-01-08 10:30:00,10,2021-01-08 16:30:00,"wind_pen_actual",NA
2021-01-08 10:25:00,10,2021-01-08 16:25:00,"wind_pen_actual",NA
2021-01-08 10:20:00,10,2021-01-08 16:20:00,"wind_pen_actual",NA
2021-01-08 10:15:00,10,2021-01-08 16:15:00,"wind_pen_actual",NA
2021-01-08 10:10:00,10,2021-01-08 16:10:00,"wind_pen_actual",NA
2021-01-08 10:05:00,10,2021-01-08 16:05:00,"wind_pen_actual",NA
2021-01-08 10:00:00,10,2021-01-08 16:00:00,"wind_pen_actual",NA
2021-01-08 09:55:00,9,2021-01-08 15:55:00,"wind_pen_actual",NA
2021-01-08 09:50:00,9,2021-01-08 15:50:00,"wind_pen_actual",NA
2021-01-08 09:45:00,9,2021-01-08 15:45:00,"wind_pen_actual",NA
2021-01-08 09:40:00,9,2021-01-08 15:40:00,"wind_pen_actual",NA
2021-01-08 09:35:00,9,2021-01-08 15:35:00,"wind_pen_actual",NA
2021-01-08 09:30:00,9,2021-01-08 15:30:00,"wind_pen_actual",NA
2021-01-08 09:25:00,9,2021-01-08 15:25:00,"wind_pen_actual",NA
2021-01-08 09:20:00,9,2021-01-08 15:20:00,"wind_pen_actual",NA
2021-01-08 09:15:00,9,2021-01-08 15:15:00,"wind_pen_actual",NA
2021-01-08 09:10:00,9,2021-01-08 15:10:00,"wind_pen_actual",NA
2021-01-08 09:05:00,9,2021-01-08 15:05:00,"wind_pen_actual",NA
2021-01-08 09:00:00,9,2021-01-08 15:00:00,"wind_pen_actual",NA
2021-01-08 08:55:00,8,2021-01-08 14:55:00,"wind_pen_actual",NA
2021-01-08 08:50:00,8,2021-01-08 14:50:00,"wind_pen_actual",NA
2021-01-08 08:45:00,8,2021-01-08 14:45:00,"wind_pen_actual",NA
2021-01-08 08:40:00,8,2021-01-08 14:40:00,"wind_pen_actual",NA
2021-01-08 08:35:00,8,2021-01-08 14:35:00,"wind_pen_actual",NA
2021-01-08 08:30:00,8,2021-01-08 14:30:00,"wind_pen_actual",NA
2021-01-08 08:25:00,8,2021-01-08 14:25:00,"wind_pen_actual",NA
2021-01-08 08:20:00,8,2021-01-08 14:20:00,"wind_pen_actual",NA
2021-01-08 08:15:00,8,2021-01-08 14:15:00,"wind_pen_actual",NA
2021-01-08 08:10:00,8,2021-01-08 14:10:00,"wind_pen_actual",NA
2021-01-08 08:05:00,8,2021-01-08 14:05:00,"wind_pen_actual",NA
2021-01-08 08:00:00,8,2021-01-08 14:00:00,"wind_pen_actual",NA
2021-01-08 07:55:00,7,2021-01-08 13:55:00,"wind_pen_actual",NA
2021-01-08 07:50:00,7,2021-01-08 13:50:00,"wind_pen_actual",NA
2021-01-08 07:45:00,7,2021-01-08 13:45:00,"wind_pen_actual",NA
2021-01-08 07:40:00,7,2021-01-08 13:40:00,"wind_pen_actual",NA
2021-01-08 07:35:00,7,2021-01-08 13:35:00,"wind_pen_actual",NA
2021-01-08 07:30:00,7,2021-01-08 13:30:00,"wind_pen_actual",NA
2021-01-08 07:25:00,7,2021-01-08 13:25:00,"wind_pen_actual",NA
2021-01-08 07:20:00,7,2021-01-08 13:20:00,"wind_pen_actual",NA
2021-01-08 07:15:00,7,2021-01-08 13:15:00,"wind_pen_actual",NA
2021-01-08 07:10:00,7,2021-01-08 13:10:00,"wind_pen_actual",NA
2021-01-08 07:05:00,7,2021-01-08 13:05:00,"wind_pen_actual",NA
2021-01-08 07:00:00,7,2021-01-08 13:00:00,"wind_pen_actual",NA
2021-01-08 06:55:00,6,2021-01-08 12:55:00,"wind_pen_actual",NA
2021-01-08 06:50:00,6,2021-01-08 12:50:00,"wind_pen_actual",NA
2021-01-08 06:45:00,6,2021-01-08 12:45:00,"wind_pen_actual",NA
2021-01-08 06:40:00,6,2021-01-08 12:40:00,"wind_pen_actual",NA
2021-01-08 06:35:00,6,2021-01-08 12:35:00,"wind_pen_actual",NA
2021-01-08 06:30:00,6,2021-01-08 12:30:00,"wind_pen_actual",NA
2021-01-08 06:25:00,6,2021-01-08 12:25:00,"wind_pen_actual",NA
2021-01-08 06:20:00,6,2021-01-08 12:20:00,"wind_pen_actual",NA
2021-01-08 06:15:00,6,2021-01-08 12:15:00,"wind_pen_actual",NA
2021-01-08 06:10:00,6,2021-01-08 12:10:00,"wind_pen_actual",NA
2021-01-08 06:05:00,6,2021-01-08 12:05:00,"wind_pen_actual",NA
2021-01-08 06:00:00,6,2021-01-08 12:00:00,"wind_pen_actual",NA
2021-01-08 05:55:00,5,2021-01-08 11:55:00,"wind_pen_actual",NA
2021-01-08 05:50:00,5,2021-01-08 11:50:00,"wind_pen_actual",NA
2021-01-08 05:45:00,5,2021-01-08 11:45:00,"wind_pen_actual",NA
2021-01-08 05:40:00,5,2021-01-08 11:40:00,"wind_pen_actual",NA
2021-01-08 05:35:00,5,2021-01-08 11:35:00,"wind_pen_actual",NA
2021-01-08 05:30:00,5,2021-01-08 11:30:00,"wind_pen_actual",NA
2021-01-08 05:25:00,5,2021-01-08 11:25:00,"wind_pen_actual",NA
2021-01-08 05:20:00,5,2021-01-08 11:20:00,"wind_pen_actual",NA
2021-01-08 05:15:00,5,2021-01-08 11:15:00,"wind_pen_actual",NA
