"Interval","Hour","GMTIntervalEnd","variable","value","ModifiedAt"
2020-12-30 11:20:00,11,"12/30/2020 17:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 11:15:00,11,"12/30/2020 17:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 11:10:00,11,"12/30/2020 17:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 11:05:00,11,"12/30/2020 17:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 11:00:00,11,"12/30/2020 17:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:55:00,10,"12/30/2020 16:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:50:00,10,"12/30/2020 16:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:45:00,10,"12/30/2020 16:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:40:00,10,"12/30/2020 16:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:35:00,10,"12/30/2020 16:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:30:00,10,"12/30/2020 16:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:25:00,10,"12/30/2020 16:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:20:00,10,"12/30/2020 16:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:15:00,10,"12/30/2020 16:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:10:00,10,"12/30/2020 16:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:05:00,10,"12/30/2020 16:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 10:00:00,10,"12/30/2020 16:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:55:00,9,"12/30/2020 15:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:50:00,9,"12/30/2020 15:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:45:00,9,"12/30/2020 15:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:40:00,9,"12/30/2020 15:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:35:00,9,"12/30/2020 15:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:30:00,9,"12/30/2020 15:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:25:00,9,"12/30/2020 15:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:20:00,9,"12/30/2020 15:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:15:00,9,"12/30/2020 15:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:10:00,9,"12/30/2020 15:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:05:00,9,"12/30/2020 15:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 09:00:00,9,"12/30/2020 15:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:55:00,8,"12/30/2020 14:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:50:00,8,"12/30/2020 14:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:45:00,8,"12/30/2020 14:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:40:00,8,"12/30/2020 14:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:35:00,8,"12/30/2020 14:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:30:00,8,"12/30/2020 14:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:25:00,8,"12/30/2020 14:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:20:00,8,"12/30/2020 14:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:15:00,8,"12/30/2020 14:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:10:00,8,"12/30/2020 14:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:05:00,8,"12/30/2020 14:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 08:00:00,8,"12/30/2020 14:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:55:00,7,"12/30/2020 13:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:50:00,7,"12/30/2020 13:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:45:00,7,"12/30/2020 13:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:40:00,7,"12/30/2020 13:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:35:00,7,"12/30/2020 13:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:30:00,7,"12/30/2020 13:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:25:00,7,"12/30/2020 13:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:20:00,7,"12/30/2020 13:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:15:00,7,"12/30/2020 13:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:10:00,7,"12/30/2020 13:10:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:05:00,7,"12/30/2020 13:05:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 07:00:00,7,"12/30/2020 13:00:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:55:00,6,"12/30/2020 12:55:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:50:00,6,"12/30/2020 12:50:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:45:00,6,"12/30/2020 12:45:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:40:00,6,"12/30/2020 12:40:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:35:00,6,"12/30/2020 12:35:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:30:00,6,"12/30/2020 12:30:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:25:00,6,"12/30/2020 12:25:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:20:00,6,"12/30/2020 12:20:00","wind_pen_actual",NA,2020-12-23 16:41:58
2020-12-30 06:15:00,6,"12/30/2020 12:15:00","wind_pen_actual",NA,2020-12-23 16:41:58
